,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
136,54.04,47.464,-0.1,3.15E-07,,,,,,,,,
137,57.52,60.936,-0.09,3.18E-07,,,,,,,,,
138,64.91,67.295,-0.08,3.21E-07,,,,,,,,,
139,59.92,65.4,-0.07,3.23E-07,,,,,,,,,
140,57.99,60.936,-0.07,3.24E-07,,,,,,,,,
141,43.68,48.248,-0.05,3.25E-07,,,,,,,,,
142,38.46,43.98,-0.03,3.27E-07,,,,,,,,,
143,40.94,38.366,-0.03,3.36E-07,,,,,,,,,
144,35.89,34.704,-0.03,3.44E-07,,,,,,,,,
145,36.83,27.761,-0.02,3.45E-07,,,,,,,,,
146,34.37,7.9285,-0.01,3.51E-07,,,,,,,,,
147,33.84,4.127,0,3.52E-07,,,,,,,,,
148,33.83,4.10E-06,0,3.53E-07,,,,,,,,,
149,33.62,1.56E-06,0,3.55E-07,,,,,,,,,
150,32.96,7.28E-07,0.01,3.58E-07,,,,,,,,,
151,30.07,6.68E-07,0.01,3.60E-07,,,,,,,,,
152,33.58,1.15E-05,0.03,3.63E-07,,,,,,,,,
153,36.02,7.9286,0.03,3.79E-07,,,,,,,,,
154,36.86,7.9286,0.04,3.85E-07,,,,,,,,,
155,36.43,9.9113,0.06,3.90E-07,,,,,,,,,
156,39.01,9.9113,0.06,3.93E-07,,,,,,,,,
157,39.5,7.9286,0.06,3.97E-07,,,,,,,,,
158,39.02,7.9286,0.07,4.01E-07,,,,,,,,,
159,38.6,7.9286,0.08,4.01E-07,,,,,,,,,
160,39.28,7.9288,0.08,4.03E-07,,,,,,,,,
161,46.95,37.481,0.08,4.27E-07,,,,,,,,,
162,57.01,46.719,0.08,4.28E-07,,,,,,,,,
163,54.02,46.719,0.08,4.29E-07,,,,,,,,,
164,46.92,46.718,0.1,4.33E-07,,,,,,,,,
165,38.12,38.62,0.11,4.34E-07,,,,,,,,,
166,35.09,37.481,0.12,4.34E-07,,,,,,,,,
167,38.1,37.481,0.12,4.40E-07,,,,,,,,,
168,34.53,37.481,0.23,4.41E-07,,,,,,,,,
169,33.86,28.192,0.25,4.41E-07,,,,,,,,,
170,34.14,2.70E-05,0.27,4.42E-07,,,,,,,,,
171,33.96,1.17E-06,0.34,4.45E-07,,,,,,,,,
172,35.01,13.032,0.36,4.52E-07,,,,,,,,,
173,36.07,27.361,0.37,4.59E-07,,,,,,,,,
174,36.07,28.192,0.4,4.65E-07,,,,,,,,,
175,36.01,29.983,0.41,4.90E-07,,,,,,,,,
176,35.37,33.1,0.43,4.92E-07,,,,,,,,,
177,37.29,38.366,0.43,5.00E-07,,,,,,,,,
178,39.15,43.642,0.47,5.02E-07,,,,,,,,,
179,41.25,43.98,0.49,5.06E-07,,,,,,,,,
180,51.93,45.54,0.65,5.11E-07,,,,,,,,,
181,45.37,45.54,0.72,5.17E-07,,,,,,,,,
182,40.53,45.54,0.75,5.24E-07,,,,,,,,,
183,39.73,45.54,0.88,5.25E-07,,,,,,,,,
184,42.75,47.464,0.88,5.28E-07,,,,,,,,,
185,53.87,60.55,0.89,5.31E-07,,,,,,,,,
186,60.95,62.362,0.95,5.40E-07,,,,,,,,,
187,64.93,66.418,1,5.46E-07,,,,,,,,,
188,58.91,66.418,1.07,5.51E-07,,,,,,,,,
189,50.03,62.362,1.09,5.55E-07,,,,,,,,,
190,39.06,62.362,1.16,5.67E-07,,,,,,,,,
191,40.06,62.362,1.46,5.74E-07,,,,,,,,,
192,37.09,61.334,1.52,5.76E-07,,,,,,,,,
193,40,60.55,1.74,5.80E-07,,,,,,,,,
194,39.05,53.131,1.8,6.03E-07,,,,,,,,,
195,39.21,48.485,1.8,6.05E-07,,,,,,,,,
196,39.24,48.485,1.86,6.06E-07,,,,,,,,,
197,40.26,53.131,1.91,6.10E-07,,,,,,,,,
198,43.84,60.55,1.94,6.10E-07,,,,,,,,,
199,58.99,62.362,2.03,6.11E-07,,,,,,,,,
200,74.04,66.418,2.04,6.24E-07,,,,,,,,,
201,75.49,79.191,2.05,6.33E-07,,,,,,,,,
202,74.63,66.418,2.09,6.41E-07,,,,,,,,,
203,73.97,66.418,2.1,6.46E-07,,,,,,,,,
204,72,66.418,2.1,6.48E-07,,,,,,,,,
205,72.12,62.363,2.13,6.52E-07,,,,,,,,,
206,70.09,62.362,2.14,6.62E-07,,,,,,,,,
207,67.41,62.363,2.17,6.64E-07,,,,,,,,,
208,65.21,62.363,2.17,6.68E-07,,,,,,,,,
209,65.09,66.418,2.52,6.68E-07,,,,,,,,,
210,74.72,79.192,2.53,6.69E-07,,,,,,,,,
211,59.94,66.567,2.59,6.86E-07,,,,,,,,,
212,52.2,63.074,2.66,6.94E-07,,,,,,,,,
213,39.1,61.375,2.85,7.17E-07,,,,,,,,,
214,36.62,49.887,2.9,7.28E-07,,,,,,,,,
215,36.08,45.54,2.91,7.79E-07,,,,,,,,,
216,32.76,37.481,2.91,7.83E-07,,,,,,,,,
217,32.45,32.638,2.93,7.84E-07,,,,,,,,,
218,31.52,8.151,2.95,7.91E-07,,,,,,,,,
219,29.08,31.138,2.96,7.93E-07,,,,,,,,,
220,28.92,33.902,3,8.05E-07,,,,,,,,,
221,31.49,36.43,3.08,8.34E-07,,,,,,,,,
222,33.06,45.539,3.23,8.45E-07,,,,,,,,,
223,36.26,59.712,3.23,8.79E-07,,,,,,,,,
224,46,62.265,3.3,8.92E-07,,,,,,,,,
